Transaction_ID,Date,Account_Type,Category,Description,Amount,Reference,Department,Approved_By
TXN_000268,2023-01-14,Equity,Equity,Equity transaction 268,-13097.0,REF_5251,Finance,Manager A
TXN_000269,2023-08-31,Liability,Liability,Liability transaction 269,-1027.69,REF_2535,Marketing,Manager B
TXN_000270,2023-06-03,Liability,Liability,Liability transaction 270,2537.16,REF_7606,Sales,Manager A
TXN_000271,2023-12-12,Expense,Utilities,Utilities transaction 271,-8920.8,REF_5430,Marketing,CEO
TXN_000272,2023-09-16,Liability,Liability,Liability transaction 272,2387.56,REF_3464,HR,CFO
TXN_000273,2023-12-10,Equity,Equity,Equity transaction 273,17730.81,REF_8817,IT,Manager A
TXN_000274,2023-07-01,Asset,Asset,Asset transaction 274,-18274.61,REF_4757,IT,Manager A
TXN_000275,2023-02-15,Asset,Asset,Asset transaction 275,16188.86,REF_7938,Sales,Manager C
TXN_000276,2023-10-10,Liability,Liability,Liability transaction 276,-18239.15,REF_5065,Marketing,CFO
TXN_000277,2023-12-20,Asset,Asset,Asset transaction 277,6967.7,REF_4672,Operations,CFO
TXN_000278,2023-08-24,Asset,Asset,Asset transaction 278,-15719.64,REF_7523,Marketing,Manager C
TXN_000279,2023-05-25,Revenue,Other Income,Other Income transaction 279,35249.55,REF_7165,HR,CEO
TXN_000280,2023-11-10,Expense,Travel,Travel transaction 280,-2721.83,REF_8033,Sales,Manager C
TXN_000281,2023-03-19,Liability,Liability,Liability transaction 281,468.02,REF_2061,HR,Manager A
TXN_000282,2023-07-17,Expense,Utilities,Utilities transaction 282,-3446.38,REF_3332,Marketing,Manager C
TXN_000283,2023-11-19,Equity,Equity,Equity transaction 283,10401.97,REF_7662,Operations,CEO
TXN_000284,2023-09-15,Equity,Equity,Equity transaction 284,-14997.69,REF_4637,Operations,CEO
TXN_000285,2023-09-14,Liability,Liability,Liability transaction 285,1308.14,REF_4734,Finance,Manager A
TXN_000286,2023-05-13,Liability,Liability,Liability transaction 286,-14501.62,REF_7474,HR,Manager B
TXN_000287,2023-10-22,Equity,Equity,Equity transaction 287,-2193.03,REF_2116,HR,Manager A
TXN_000288,2023-02-15,Equity,Equity,Equity transaction 288,13320.82,REF_5913,Sales,Manager B
TXN_000289,2024-01-22,Revenue,Service Revenue,Service Revenue transaction 289,18208.48,REF_3674,Marketing,CFO
TXN_000290,2024-01-04,Revenue,Service Revenue,Service Revenue transaction 290,11060.52,REF_7678,Sales,Manager C
TXN_000291,2023-05-11,Expense,Operations,Operations transaction 291,-533.53,REF_6262,Finance,CEO
TXN_000292,2023-12-25,Revenue,Other Income,Other Income transaction 292,16956.31,REF_1359,Marketing,Manager C
TXN_000293,2023-09-11,Asset,Asset,Asset transaction 293,10019.06,REF_3369,Operations,Manager A
TXN_000294,2023-06-12,Equity,Equity,Equity transaction 294,-16105.54,REF_1517,Marketing,Manager C
TXN_000295,2023-10-18,Asset,Asset,Asset transaction 295,-18869.8,REF_7822,HR,Manager A
TXN_000296,2023-09-05,Liability,Liability,Liability transaction 296,10224.22,REF_2070,Finance,Manager B
TXN_000297,2023-10-21,Asset,Asset,Asset transaction 297,3781.89,REF_9955,IT,Manager A
TXN_000298,2024-01-09,Equity,Equity,Equity transaction 298,1641.67,REF_1046,HR,CFO
TXN_000299,2023-05-20,Equity,Equity,Equity transaction 299,-14181.59,REF_2304,HR,Manager C
TXN_000300,2023-02-23,Liability,Liability,Liability transaction 300,678.86,REF_4710,Operations,CEO
